Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20230714,346296,4291168,861980
20230717,338097,4285322,856137
20230718,335364,4209320,860520
20230719,335755,4191781,858328
20230720,329118,4150857,853945
20230721,329898,4109933,840796
20230724,325994,4115780,832761
20230725,330289,4092395,828378
20230726,322481,4080702,825456
20230727,324433,4191781,905810
20230728,328727,4127472,935030
20230731,322871,4080702,901427
20230801,325214,4156704,913845
20230802,312330,4086548,872938
20230803,315063,4022239,876590
20230804,314672,3993008,877321
20230807,302960,4004700,890470
20230808,305693,3952084,866363
20230809,308035,4028085,865633
20230810,308035,3975469,865633
20230811,313501,3946238,842257
20230814,307255,3934545,839335
20230816,304522,3917006,845910
20230817,306083,3899467,838605
20230818,306083,3876082,856137
20230821,304912,3893621,850293
20230822,307645,3893621,851023
20230823,307255,3922852,847371
20230824,307645,3987162,883165
20230825,304912,3922852,851023
20230828,305693,3905314,846640
20230829,313111,3905314,866363
20230830,313892,3922852,872207
20230831,313111,3911160,889739
20230901,311159,4150857,876590
20230904,312330,4162550,870746
20230905,308816,4133318,872207
20230906,308035,4092395,863441
20230907,305693,4115780,865633
20230908,303741,4109933,830569
20230911,302960,4139165,846640
20230912,303350,4121626,852484
20230913,306474,4145011,865633
20230914,309207,4191781,892661
20230915,312720,4209320,894122
20230918,309987,4104087,869285
20230919,309987,4080702,870746
20230920,317796,4069009,861980
20230921,311549,4028085,851023
20230922,313111,4022239,856867
20230925,320529,4057317,854676
20230926,315844,4010547,840066
20230927,317796,3998854,837874
20231004,319748,3946238,842988
20231005,325994,3899467,878051
20231006,332631,3858543,879512
20231010,328337,3881928,872938
20231011,329898,3987162,870746
20231012,329898,4028085,907271
20231013,328727,3975469,910923
20231016,327556,3934545,906541
20231017,321309,4057317,949640
20231018,327556,4121626,949640
20231019,328337,4063163,918228
20231020,318967,4022239,921881
20231023,324042,3998854,905810
20231024,320529,4004700,926264
20231025,320138,3975469,931377
20231026,316234,3899467,876590
20231027,311159,3934545,870016
20231030,304912,3934545,870016
20231031,300227,3911160,849562
20231101,302179,4010547,878782
20231102,306474,4074856,915306
20231103,302960,4069009,918959
20231106,308426,4145011,971554
20231107,302570,4145011,952562
20231108,300618,4086548,932108
20231109,302570,4109933,935030
20231110,300618,4121626,953292
20231113,300618,4115780,962788
20231114,305302,4139165,949640
20231115,318186,4221013,979590
20231116,329898,4256090,966441
20231117,332631,4238551,948909
20231120,329508,4250244,959866
20231121,326385,4256090,964249
20231122,324433,4256090,959136
20231123,329898,4232705,950370
20231124,328727,4191781,935030
20231127,328337,4168396,954753
20231128,330289,4250244,959866
20231129,335755,4250244,952562
20231130,335364,4256090,978129
20231201,334974,4209320,968632
20231204,328337,4244398,957675
20231205,328337,4162550,919689
20231206,329898,4191781,917498
20231207,332241,4180089,917498
20231208,337316,4244398,931377
20231211,340049,4267783,941604
20231212,341220,4297014,956944
20231213,341220,4256090,958405
20231214,340440,4273629,998583
20231215,348638,4285322,1022689
20231218,349029,4261937,1022689
20231219,348638,4291168,1009540
20231220,370892,4373016,1026341
20231221,372454,4384708,1026341
20231222,373234,4437325,1027072
20231226,375967,4478249,1029263
20231227,378700,4560097,1025611
20231228,390412,4589328,1033646
20240102,381043,4653637,1040221
20240103,366207,4501634,999313
20240104,362693,4478249,996391
20240105,357618,4478249,1004427
20240108,347077,4472403,993469
20240109,347857,4367170,1003696
20240110,353323,4302861,975207
20240111,350200,4279475,993469
20240112,344734,4273629,979590
20240115,354885,4320399,979590
20240116,350590,4244398,964980
20240117,343173,4150857,956944
20240118,340830,4191781,994930
20240119,342001,4367170,1032185
20240122,340440,4390555,1041682
20240123,343173,4396401,1028533
20240124,343173,4326246,1033646
20240125,363084,4332092,1003696
20240126,368549,4291168,993469
20240129,390022,4349631,986164
20240130,382604,4343785,1000044
20240131,401734,4250244,983973
20240201,415009,4302861,969363
20240202,466543,4396401,985434
20240205,461858,4343785,966441
20240206,435700,4349631,1008079
20240207,447803,4384708,1008079
20240208,441947,4332092,1043143
20240213,457564,4396401,1095738
20240214,459125,4326246,1086242
20240215,443118,4267783,1086242
20240216,452098,4256090,1072362
20240219,459125,4314553,1105234
20240220,453269,4285322,1092816
20240221,456002,4267783,1088433
20240222,465762,4273629,1143220
20240223,462248,4261937,1179014
20240226,447413,4256090,1181936
20240227,439605,4261937,1123497
20240228,459516,4279475,1154177
20240229,486064,4291168,1141029
20240304,490358,4378862,1216269
20240305,480207,4308707,1211156
20240306,495824,4261937,1189972
20240307,492310,4221013,1204581
20240308,501290,4285322,1255716
20240311,492701,4232705,1217000
20240312,492310,4285322,1210425
20240313,491529,4332092,1195085
20240314,501680,4343785,1182667
20240315,488016,4226859,1177553
20240318,499728,4256090,1200198
20240319,464201,4256090,1170248
20240320,451707,4495788,1143220
20240321,451707,4636098,1241837
20240322,440776,4612713,1240376
20240325,435310,4571789,1237454
20240326,446632,4671176,1290049
20240327,443509,4665330,1323652
20240328,437262,4723793,1301737
20240329,430235,4817333,1336801
20240401,424378,4793948,1355063
20240402,408762,4969336,1360907
20240403,397440,4916720,1309042
20240404,416570,4986875,1373325
20240405,409933,4940105,1335340
20240408,423598,4940105,1323652
20240409,421646,4887488,1336070
20240411,436091,4916720,1376247
20240412,428673,4893335,1368942
20240415,447413,4805641,1374786
20240416,447803,4677022,1308311
20240417,441557,4612713,1305389
20240418,438043,4653637,1331687
20240419,431015,4536712,1265943
20240422,449365,4449018,1253524
20240423,452488,4413940,1249141
20240424,453659,4595174,1313425
20240425,455221,4460710,1246219
20240426,461468,4484095,1298815
20240429,461858,4484095,1284936
20240430,460687,4530865,1272517
20240502,466933,4560097,1268134
20240503,444680,4536712,1265212
