today,name,starttime,trigger,t_open,entry_price,exit_price,entry_time,exit_time,pnl,mdd,mdu,last_high_elapsed,msg,mkt_float,ytd_tradamt,cbv_1,ctotal,cum_amt
20220425,002240,090037,22500.0,22500.0,22550.0,22650.0,091033,091101,0.213,0.0,0.44,0,trail,1000,100,3.0,0,100
20220425,002310,090037,45200.0,45200.0,45200.0,45200.0,090538,090539,-0.23,0.0,0.0,0,trail,1000,100,10.0,0,100
20220425,002320,090026,32900.0,32900.0,32850.0,32850.0,133228,133240,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002350,090008,6750.0,6750.0,6760.0,6760.0,090056,090056,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002360,090006,1030.0,1030.0,1030.0,1030.0,090022,090022,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002380,090034,342000.0,342000.0,342000.0,341500.0,090043,090045,-0.376,-0.15,0.0,0,trail,1000,100,0.0,0,100
20220425,002390,090021,21700.0,21700.0,21700.0,21700.0,090508,090537,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002410,090017,5740.0,5740.0,5740.0,5720.0,090039,090040,-0.578,-0.35,0.0,0,trail,1000,100,0.0,0,100
20220425,002460,090024,22550.0,22550.0,22600.0,22600.0,090124,090124,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002680,090211,2550.0,2550.0,2550.0,2550.0,091209,091211,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002690,090037,3395.0,3395.0,3395.0,3390.0,090120,090121,-0.377,-0.15,0.0,0,trail,1000,100,0.0,0,100
20220425,002700,090014,2325.0,2325.0,2325.0,2315.0,090030,090033,-0.66,-0.43,0.0,0,trail,1000,100,0.0,0,100
20220425,002710,090035,13550.0,13550.0,13550.0,13550.0,090045,090045,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002720,090019,6000.0,6000.0,6000.0,6000.0,090101,090101,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002760,090007,2125.0,2125.0,2120.0,2120.0,090041,090041,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002780,090010,2455.0,2455.0,2450.0,2450.0,090506,090506,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002790,090007,46100.0,46100.0,46100.0,46100.0,090041,090041,-0.23,0.0,0.0,0,trail,1000,100,5.0,0,100
20220425,002795,090012,18300.0,18300.0,18650.0,18650.0,090040,090040,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002870,090004,2275.0,2275.0,2275.0,2275.0,090703,090707,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002880,090008,1200.0,1200.0,1210.0,1210.0,090022,090030,-0.23,-0.41,0.0,0,trail,1000,100,0.0,0,100
20220425,002900,090004,2450.0,2450.0,2445.0,2445.0,090019,090019,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002990,090034,10200.0,10200.0,10250.0,10250.0,090112,090112,-0.23,0.0,0.0,0,trail,1000,100,424.0,0,100
20220425,003000,090022,11400.0,11400.0,11400.0,11400.0,090047,090047,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,003030,090017,148000.0,148000.0,149500.0,148500.0,090123,090130,-0.899,-0.67,0.0,0,trail,1000,100,0.0,0,100
20220425,003060,090035,850.0,850.0,854.0,848.0,090210,090326,-0.9329999999999999,-0.7,0.0,0,trail,1000,100,0.0,0,100
20220425,003070,090037,19950.0,19950.0,19950.0,19950.0,090152,090158,-0.23,0.0,0.0,0,trail,1000,100,2.0,0,100
20220425,003080,090008,4485.0,4485.0,4500.0,4485.0,090021,090021,-0.5630000000000001,-0.33,0.0,0,trail,1000,100,21.0,0,100
20220425,003090,090036,29400.0,29400.0,29400.0,29350.0,090049,090052,-0.4,-0.17,0.0,0,trail,1000,100,0.0,0,100
20220425,003160,090018,8710.0,8710.0,8710.0,8700.0,090549,090549,-0.34500000000000003,-0.11,0.0,0,trail,1000,100,750.0,0,100
20220425,003220,090016,18350.0,18350.0,18500.0,18400.0,090049,090050,-0.771,-0.54,0.0,0,trail,1000,100,0.0,0,100
20220425,003230,090015,104500.0,104500.0,104000.0,104000.0,090042,090042,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,003280,090006,2985.0,2985.0,2980.0,2980.0,090023,090023,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,003380,090004,10750.0,10750.0,10750.0,10750.0,090032,090032,-0.23,0.0,0.0,0,trail,1000,100,10.0,0,100
20220425,003410,090020,8190.0,8190.0,8190.0,8190.0,090043,090043,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,003490,090011,30700.0,30700.0,30700.0,30650.0,090020,090021,-0.393,-0.16,0.0,0,trail,1000,100,76.0,0,100
20220425,003530,090018,5040.0,5040.0,5060.0,5020.0,090026,090026,-1.0210000000000001,-0.79,0.0,0,trail,1000,100,19314.0,0,100
20220425,003540,090024,18100.0,18100.0,18150.0,18150.0,090147,090208,-0.23,0.0,0.0,0,trail,1000,100,53.0,0,100
20220425,003545,090037,15500.0,15500.0,15600.0,15550.0,090223,090308,-0.551,-0.32,0.0,0,trail,1000,100,2.0,0,100
20220425,003550,090016,73000.0,73000.0,73000.0,72900.0,090024,090026,-0.367,-0.14,0.0,0,trail,1000,100,0.0,0,100
20220425,003580,090010,8900.0,8900.0,8900.0,8900.0,090025,090025,-0.23,0.0,0.0,0,trail,1000,100,2.0,0,100
20220425,003670,090009,123000.0,123000.0,123000.0,122000.0,090021,090022,-1.043,-0.81,0.0,0,trail,1000,100,0.0,0,100
20220425,003680,090027,9650.0,9650.0,9640.0,9640.0,090042,090042,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,003690,090015,9980.0,9980.0,9990.0,9990.0,090049,090049,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,003780,090034,9320.0,9320.0,9340.0,9340.0,090103,090118,-0.23,0.0,0.0,0,trail,1000,100,3.0,0,100
20220425,003850,090010,13000.0,13000.0,13000.0,13000.0,090122,090122,-0.23,0.0,0.0,0,trail,1000,100,10.0,0,100
20220425,003960,090215,37450.0,37450.0,38300.0,38000.0,090222,090223,-1.0130000000000001,-0.78,0.0,0,trail,1000,100,970.0,0,100
20220425,004000,090004,85400.0,85400.0,85500.0,85300.0,090012,090014,-0.464,-0.23,0.0,0,trail,1000,100,0.0,0,100
20220425,004020,090006,43750.0,43750.0,43750.0,43750.0,090014,090015,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004060,090033,734.0,734.0,735.0,735.0,090054,090054,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004090,090033,14900.0,14900.0,14850.0,14850.0,090045,090045,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004140,090032,3605.0,3605.0,3610.0,3610.0,090121,090121,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004150,090018,3540.0,3540.0,3590.0,3585.0,090603,090628,-0.369,-0.14,0.0,0,trail,1000,100,48.0,0,100
20220425,004170,090003,253500.0,253500.0,253500.0,253500.0,090036,090036,-0.23,0.0,0.0,0,trail,1000,100,5.0,0,100
20220425,004250,090028,10900.0,10900.0,10950.0,10850.0,090036,090036,-1.143,-0.91,0.0,0,trail,1000,100,10233.0,0,100
20220425,004255,090023,6450.0,6450.0,6490.0,6440.0,090031,090033,-1.0,-0.77,0.0,0,trail,1000,100,70.0,0,100
20220425,004270,090037,2970.0,2970.0,2950.0,2915.0,090131,090131,-1.416,-1.19,0.0,0,trail,1000,100,0.0,0,100
20220425,004360,090025,12100.0,12100.0,12100.0,12050.0,090536,090541,-0.643,-0.41,0.0,0,trail,1000,100,0.0,0,100
20220425,004370,090022,308500.0,308500.0,310000.0,309500.0,090046,090046,-0.391,-0.16,0.0,0,trail,1000,100,26.0,0,100
20220425,004380,090015,13450.0,13450.0,13450.0,13500.0,090721,090737,0.142,0.0,0.37,0,trail,1000,100,100.0,0,100
20220425,004410,090030,356.0,356.0,358.0,357.0,090040,090040,-0.509,-0.28,0.0,0,trail,1000,100,0.0,0,100
20220425,004430,090018,25650.0,25650.0,25650.0,25500.0,090043,090048,-0.815,-0.58,0.0,0,trail,1000,100,0.0,0,100
20220425,004490,090009,80100.0,80100.0,80200.0,80200.0,090034,090034,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004540,090035,4800.0,4800.0,4780.0,4740.0,090142,090148,-1.067,-0.84,0.0,0,trail,1000,100,0.0,0,100
20220425,004560,090010,18850.0,18850.0,18850.0,18850.0,090042,090042,-0.23,0.0,0.0,0,trail,1000,100,20.0,0,100
20220425,004590,090026,7410.0,7410.0,7460.0,7460.0,090108,090108,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004650,090023,14000.0,14000.0,14000.0,14000.0,090041,090041,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,004770,090018,3235.0,3235.0,3235.0,3220.0,090103,090107,-0.6940000000000001,-0.46,0.0,0,trail,1000,100,0.0,0,100
20220425,004800,090026,84900.0,84900.0,85300.0,85100.0,090051,090058,-0.464,-0.23,0.0,0,trail,1000,100,0.0,0,100
20220425,004830,090022,8300.0,8300.0,8300.0,8290.0,090035,090048,-0.35,-0.12,0.0,0,trail,1000,100,0.0,0,100
20220425,004960,090037,18000.0,18000.0,18100.0,18000.0,090313,090313,-0.782,-0.55,0.0,0,trail,1000,100,0.0,0,100
20220425,004970,090037,13150.0,13150.0,13150.0,13200.0,090232,090309,0.15,0.0,0.38,0,trail,1000,100,5.0,0,100
20220425,004980,090015,13750.0,13750.0,13750.0,13750.0,090045,090046,-0.23,0.0,0.0,0,trail,1000,100,49.0,0,100
20220425,004990,090009,33400.0,33400.0,33400.0,33400.0,090040,090040,-0.23,0.0,0.0,0,trail,1000,100,5.0,0,100
20220425,005010,090003,23900.0,23900.0,24000.0,23950.0,090015,090017,-0.438,-0.21,0.0,0,trail,1000,100,0.0,0,100
20220425,005070,090019,57900.0,57900.0,58000.0,57900.0,090026,090027,-0.402,-0.17,0.0,0,trail,1000,100,0.0,0,100
20220425,005090,090024,55000.0,55000.0,55000.0,55000.0,090249,090255,-0.23,0.0,0.0,0,trail,1000,100,10.0,0,100
20220425,005110,090037,734.0,734.0,734.0,734.0,090214,090341,-0.23,0.0,0.0,0,trail,1000,100,4.0,0,100
20220425,005180,090037,55600.0,55600.0,55900.0,55900.0,090145,090145,-0.23,0.0,0.0,0,trail,1000,100,9.0,0,100
